response,classifier,count,percentage
stay,16_24,391,0.279485347
stay,25_34,346,0.247319514
stay,35_44,248,0.177269478
stay,45_54,207,0.147962831
stay,55_64,114,0.081486776
stay,65_up,93,0.066476054
flee,16_24,297,0.334836528
flee,25_34,231,0.26042841
flee,35_44,157,0.177001127
flee,45_54,93,0.104847802
flee,55_64,50,0.056369786
flee,65_up,59,0.066516347
different,16_24,274,0.323494687
different,25_34,167,0.19716647
different,35_44,156,0.184179457
different,45_54,89,0.105076741
different,55_64,76,0.089728453
different,65_up,85,0.100354191
