region,age,age_group,gender,language,education,income,response
Mykolayiv Oblast,35,35-44,male,russian,secondary,<30000,stay
Kyiv City,64,55-64,female,ukrainian,masters-or-higher,<30000,flee
Sebastopol City,25,25-34,male,russian,bachelors,<30000,different
Luhansk,28,25-34,female,ukrainian,bachelors,<30000,flee
Kyiv City,26,25-34,female,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,16,16-24,female,ukrainian,primary,<30000,stay
Cherkasy Oblast,53,45-54,male,ukrainian,post-secondary,<30000,stay
Mykolayiv Oblast,34,25-34,male,russian,post-secondary,<30000,flee
Zaporizhzhya Oblast,46,45-54,male,russian,post-secondary,<30000,flee
Donetsk Oblast,98,65+,male,ukrainian,primary,<30000,stay
Odessa,35,35-44,male,russian,post-secondary,<30000,stay
Odessa,23,16-24,male,russian,primary,<30000,different
Odessa,17,16-24,male,russian,primary,<30000,stay
Donetsk Oblast,25,25-34,male,russian,post-secondary,<30000,stay
Vinnytsya Oblast,63,55-64,male,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,64,55-64,male,russian,secondary,<30000,different
Kyiv City,19,16-24,male,russian,primary,<30000,flee
Lviv Oblast,34,25-34,male,russian,secondary,<30000,flee
Odessa,50,45-54,male,ukrainian,masters-or-higher,<30000,stay
Crimea,36,35-44,male,russian,primary,<30000,flee
Chernivtsi Oblast,16,16-24,male,ukrainian,secondary,<30000,stay
Crimea,24,16-24,male,ukrainian,secondary,<30000,stay
Kyiv City,23,16-24,male,ukrainian,secondary,<30000,different
Vinnytsya Oblast,44,35-44,male,ukrainian,secondary,<30000,different
Donetsk Oblast,45,45-54,male,russian,post-secondary,<30000,flee
Donetsk Oblast,39,35-44,male,ukrainian,secondary,<30000,flee
Odessa,38,35-44,male,ukrainian,masters-or-higher,<30000,flee
Donetsk Oblast,35,35-44,male,russian,primary,<30000,different
Kyiv City,26,25-34,female,ukrainian,masters-or-higher,<30000,stay
Donetsk Oblast,38,35-44,male,russian,primary,<30000,stay
Crimea,46,45-54,male,russian,bachelors,<30000,stay
Poltava Oblast,29,25-34,male,ukrainian,post-secondary,<30000,stay
Chernihiv,19,16-24,male,russian,post-secondary,<30000,flee
Vinnytsya Oblast,38,35-44,male,ukrainian,masters-or-higher,<30000,flee
Dnipropetrovsk Oblast,31,25-34,male,ukrainian,secondary,<30000,stay
Sumy,18,16-24,male,ukrainian,secondary,<30000,different
Kyiv City,48,45-54,male,russian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,18,16-24,male,ukrainian,secondary,<30000,flee
